dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,uairne,type,secteur,code,Nom,Latitude,Longitude
NON,,,,,,,,,,,0840575U,1ORD,PU,0840575U,ECOLE ELEMENTAIRE JOLIOT CURIE <br> 84300 CAVAILLON,43.8275838964936,5.0408313714646065
OUI,1/17/2008,NON,OUI,NON,,NON,NON,OUI,,,0040022C,CLG,PU,0040022C,COLLEGE GASSENDI <br> 04004 DIGNE-LES-BAINS,44.089143727503824,6.231149574919586
OUI,5/23/2016,OUI,OUI,OUI,5/23/2016,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0840951C,1ORD,PU,0840951C,ECOLE MATERNELLE MATERNELLE <br> 84530 VILLELAURE,43.70982730107206,5.432590980458254
,,,,,,,,,,"nous n'avons pas le dossier afin de pouvoir répondre aux questions.
dossier demandé à la municipalité, toujours en attente d'une réponse.",0131917N,1ORD,PU,0131917N,ECOLE MATERNELLE CADIERE (LA) <br> 13700 MARIGNANE,43.412339122956226,5.211953571335323
OUI,7/17/2008,OUI,OUI,OUI,7/7/2008,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",consultable à l'intendance du collège,0130158B,CLG,PU,0130158B,COLLEGE RENE SEYSSAUD <br> 13250 SAINT-CHAMAS,43.547189418477615,5.038293613743309
OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132750U,1ORD,PU,0132750U,ECOLE MATERNELLE POUNCHE (LA) <br> 13190 ALLAUCH,43.34874657741472,5.462666419835519
OUI,,OUI,NON,,,,,,,,0040138D,1ORD,PU,0040138D,ECOLE ELEMENTAIRE LES SIEYES <br> 04000 DIGNE-LES-BAINS,44.083422114201205,6.2018002068010585
NON,,,,,,,,,,,0133314G,LYC,PR,0133314G,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE ST LOUIS - STE MARIE <br> 13180 GIGNAC-LA-NERTHE,43.395585797674855,5.234914965412306
OUI,7/16/2007,NON,OUI,NON,,NON,NON,OUI,,,0130523Y,1ORD,PU,0130523Y,ECOLE ELEMENTAIRE BAUME (LA) <br> 13009 MARSEILLE  9E  ARRONDISSEMENT,43.23515948019122,5.410877450624588
OUI,4/9/1997,OUI,NON,NON,,NON,NON,OUI,,"Seuls les faux-plafonds ont été visités (flocages et calorifuges) lors du DTA du 9 avril 1997.
Le bâtiment est de type PAILLERON.  
Le sol (plaques souples) n'a pas été diagnostiqué, ni les les endroits hermétiquement clos (doubles parois...) malgré l",0132260L,1ORD,PU,0132260L,ECOLE ELEMENTAIRE MARCEL GRESSET <br> 13140 MIRAMAS,43.590372669385694,5.003560411105896
OUI,10/8/2012,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132711B,1ORD,PU,0132711B,ECOLE ELEMENTAIRE CLOS DE LA ROCHE <br> 13800 ISTRES,43.49243191177851,4.9795517313778745
OUI,,OUI,NON,NON,,,,OUI,,,0040247X,1ORD,PU,0040247X,ECOLE MATERNELLE  <br> 04310 PEYRUIS,44.02853347561275,5.941341727833903
NON,,,,,,,,,,,0132105T,1ORD,PR,0132105T,ECOLE ELEMENTAIRE SAINTE ELISABETH <br> 13170 LES PENNES-MIRABEAU,43.384721509921334,5.3459840870868485
OUI,3/18/2014,OUI,OUI,OUI,,OUI,OUI,OUI,,,0131803P,1ORD,PR,0131803P,ECOLE ELEMENTAIRE SAINTE THERESE D'AVILA <br> 13004 MARSEILLE  4E  ARRONDISSEMENT,43.310371382627004,5.394848713779067
NON,,,,,,,,,,,0840066R,CLG,PR,0840066R,COLLEGE NOTRE DAME DU BON ACCUEIL <br> 84170 MONTEUX,44.03537560371133,4.993343518152992
OUI,10/1/2012,OUI,NON,NON,,NON,NON,OUI,,,0132011R,1ORD,PR,0132011R,ECOLE ELEMENTAIRE SAINT JOSEPH <br> 13016 MARSEILLE 16E  ARRONDISSEMENT,43.36332922671782,5.314594745691704
OUI,12/12/2013,OUI,NON,OUI,12/12/2013,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0133186T,1ORD,PU,0133186T,ECOLE MATERNELLE GERALD KRAEMER <br> 13340 ROGNAC,43.477430256888496,5.243919520804131
NON,,,,,,,,,,,0130042A,LYC,PU,0130042A,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE MONTGRAND <br> 13291 MARSEILLE  6E  ARRONDISSEMENT,43.291572665795314,5.378340976474693
OUI,,OUI,NON,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0133391R,1ORD,PU,0133391R,ECOLE MATERNELLE AUGUSTE BOYER <br> 13290 AIX-EN-PROVENCE,43.506600802506284,5.391600440512032
NON,6/15/2016,NON,OUI,NON,,NON,NON,OUI,,,0131391S,LYC,PR,0131391S,LYCEE POLYVALENT ST ELOI <br> 13626 AIX-EN-PROVENCE,43.533863741636964,5.450222275827482
OUI,,OUI,OUI,NON,,NON,NON,OUI,,,0131433M,LP,PR,0131433M,LYCEE PROFESSIONNEL ST HENRI <br> 13016 MARSEILLE 16E  ARRONDISSEMENT,43.365861065543044,5.339653481508988
OUI,6/25/2014,NON,OUI,OUI,5/14/2014,NON,NON,OUI,,,0132401P,CLG,PU,0132401P,COLLEGE CHATEAU FORBIN <br> 13396 MARSEILLE 11E  ARRONDISSEMENT,43.28559982344971,5.467708910483909
OUI,3/18/2013,OUI,OUI,NON,,NON,NON,OUI,,,0131432L,LP,PR,0131432L,LYCEE PROFESSIONNEL ST ANDRE <br> 13016 MARSEILLE 16E  ARRONDISSEMENT,43.36067001267927,5.342515254953699
OUI,8/13/2008,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","le rapport mentionne que :
- les gaines isolants conduits canalisations pris dans la maçonnerie n'ont pu être examinés
- les planchers bas situés sous les carrelages fixés n'ont pu être examinés 
- les planchers bas situés sous les moquettes fixées ",0131757P,CLG,PU,0131757P,COLLEGE ESTAQUE (L') <br> 13016 MARSEILLE 16E  ARRONDISSEMENT,43.36302953235596,5.323538178186468
OUI,8/24/2015,NON,OUI,,,,,OUI,,"Une demande d'information a été adressée au CD13 le 27/06/2016, afin de pouvoir répondre à certaines des questions de l'enquête. A ce jour, en l'absence de réponse, certains éléments n'ont pu être précisés.",0131704G,CLG,PU,0131704G,COLLEGE ARTHUR RIMBAUD <br> 13015 MARSEILLE 15E  ARRONDISSEMENT,43.34432893263555,5.348482706937176
OUI,2/23/2015,OUI,OUI,OUI,,NON,NON,OUI,,,0132412B,CLG,PU,0132412B,COLLEGE LOU GARLABAN <br> 13681 AUBAGNE,43.28048330734522,5.548163380761833
OUI,6/6/2016,OUI,NON,NON,,NON,NON,OUI,,Nous avons obtenu le permis de construire en  juillet 2015 pour la mise en conformité accessibilité handicapés.,0840082H,LP,PR,0840082H,LYCEE PROFESSIONNEL VINCENT DE PAUL <br> 84000 AVIGNON,43.95101444277317,4.804790904039785
,,NON,OUI,,,,,,,J'ignore si un DTA a été réalisé pour le collège. Je ne dispose pas du document. En revanche un Rapport de repérage avant travaux a été réalise en nov 2015. Il signale la présence d'amiante dans certaines zones. Les logements de fonctions sont également c,0132207D,CLG,PU,0132207D,COLLEGE MASSENET <br> 13014 MARSEILLE 14E  ARRONDISSEMENT,43.34236825549508,5.38094224033247
NON,,,,,,,,,,,0133424B,LYC,PR,0133424B,LYCEE POLYVALENT CAUCADIS <br> 13127 VITROLLES,43.45052801546877,5.240963717469199
NON,,,,,,,,,,,0840059H,LYC,PR,0840059H,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE LOUIS PASTEUR <br> 84011 AVIGNON,43.94780630118663,4.813534556405675
NON,,,,,,,,,,,0040153V,1ORD,PU,0040153V,ECOLE ELEMENTAIRE  <br> 04160 L'ESCALE,44.08479509583115,6.025039390144987
OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0130151U,LP,PU,0130151U,LYCEE PROFESSIONNEL CHARLES MONGRAND <br> 13110 PORT-DE-BOUC,43.40859179115923,4.980130667949606
OUI,8/13/2004,OUI,OUI,NON,,NON,NON,OUI,,"Le DTA n'est pas ""lisible"" pour toute personne non-formée (comme c'est le cas pour les directeurs). Nous ne sommes pas mis au courant si des travaux ont été réalisés et quel est le danger potentiel de la présence d'amiante dans le revêtement des murs de l",0131534X,1ORD,PU,0131534X,ECOLE MATERNELLE CITE AZOULAY <br> 13008 MARSEILLE  8E  ARRONDISSEMENT,43.26869718971081,5.392779892472133
OUI,,,OUI,NON,,NON,NON,OUI,,,0132334S,1ORD,PU,0132334S,ECOLE MATERNELLE JEAN-JACQUES ROUSSEAU <br> 13127 VITROLLES,43.441649692676194,5.250624093931903
OUI,9/26/2011,OUI,OUI,NON,,NON,NON,OUI,,.,0131746C,CLG,PU,0131746C,COLLEGE ROBERT MOREL <br> 13200 ARLES,43.684458586985215,4.614014384107104
OUI,11/9/2006,OUI,OUI,OUI,11/9/2006,NON,NON,OUI,,,0050006E,LYC,PU,0050006E,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE DOMINIQUE VILLARS <br> 05010 GAP,44.561491018452,6.075721938830088
OUI,9/19/2006,OUI,OUI,,,,,OUI,,"Les éléments contenus dans le DTA semblent incomplets et ne permettent pas de répondre aux questions 6,7,8 et 9.
D' autre part , en 2015, on devait refaire les sanitaires des "" petits "".
Des pré-travaux ont permis de repérer de l' amiante, ce qui a "" ",0130932T,1ORD,PU,0130932T,ECOLE MATERNELLE SIMIANE <br> 13014 MARSEILLE 14E  ARRONDISSEMENT,43.344019309806356,5.384639661688119
OUI,2/25/1997,OUI,NON,NON,,NON,NON,OUI,,,0840553V,1ORD,PR,0840553V,ECOLE ELEMENTAIRE MARIE RIVIER <br> 84703 SORGUES,44.01124484238085,4.874141619676816
NON,,,,,,,,,,,0131441W,LP,PR,0131441W,LYCEE PROFESSIONNEL ST MICHEL (ANN. ST CH. CAMAS) <br> 13005 MARSEILLE  5E  ARRONDISSEMENT,43.29673072846125,5.387143050520472
OUI,,OUI,NON,NON,,NON,NON,OUI,,"AUCUNE DEMANDE DE PERMIS

ENTRETIEN RÉGULIER ET TRAVAUX DE RÉNOVATION DE LOCAUX CONFORMES AUX RÈGLES EN VIGUEUR",0131398Z,LYC,PR,0131398Z,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE MAXIMILIEN DE SULLY <br> 13006 MARSEILLE  6E  ARRONDISSEMENT,43.2921972326884,5.387524577091692
OUI,5/9/2006,,,,,,,OUI,,Le DTA fourni par la Mairie ne permet pas de répondre aux questions de ce formulaire.,0133428F,1ORD,PU,0133428F,ECOLE ELEMENTAIRE MARCEL PAGNOL <br> 13700 MARIGNANE,43.40464003944187,5.249806465951466
OUI,10/21/2011,OUI,OUI,OUI,2/9/2015,OUI,NON,OUI,,Des travaux ont été réalisés pendant l'été 2015 pour remplacer les dalles de sol de 2 salles par du carrelage. Ces salles avaient été détectées amiantées (colle) et sous surveillance sous 3 ans.,0133353Z,CLG,PU,0133353Z,COLLEGE ROQUEPERTUSE <br> 13880 VELAUX,43.53138272003809,5.249538371492993
OUI,4/7/2004,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","- L'’analyse a révélé la présence d’amiante sous forme de conduit en amiante fibro ciment situé dans la cave 2 au niveau -1. Matériaux non friables en bon état.
- L’analyse a révélé la présence d’amiante sous forme de conduit en amiante fibro ciment sit",0840195F,1ORD,PU,0840195F,ECOLE ELEMENTAIRE MARIUS ANDRE <br> 84460 CHEVAL-BLANC,43.80137223576777,5.064581827032584
NON,,,,,,,,,,,0132015V,1ORD,PR,0132015V,ECOLE ELEMENTAIRE SAINTE CATHERINE DE SIENNE <br> 13100 AIX-EN-PROVENCE,43.5305098905003,5.450934094317661
OUI,5/12/2004,OUI,,,,,,OUI,,,0840383K,1ORD,PU,0840383K,ECOLE ELEMENTAIRE SAINT RUF <br> 84000 AVIGNON,43.93590569746996,4.810385793145591
NON,,,,,,,,,,,0132046D,1ORD,PR,0132046D,ECOLE ELEMENTAIRE SAINTE MARIE <br> 13010 MARSEILLE 10E  ARRONDISSEMENT,43.2819696353961,5.432768163428049
OUI,1/30/2015,OUI,OUI,NON,,NON,NON,OUI,,,0132205B,CLG,PU,0132205B,COLLEGE GASTON DEFFERRE <br> 13263 MARSEILLE  7E  ARRONDISSEMENT,43.288121719171464,5.361579528333026
OUI,6/2/2012,NON,NON,NON,,NON,NON,,,"Notre établissement est sur deux lieux.
L'école au 18 rue Thieux a été entièrement rénovée et un étage a été rajouté depuis juin 2013 et a donc été contrôlée pour l'amiante. Je vais demander une expertise d'amiante pour les locaux de l'école au 105 rue ",0131985M,1ORD,PR,0131985M,ECOLE ELEMENTAIRE SAINTE ANNE <br> 13008 MARSEILLE  8E  ARRONDISSEMENT,43.25830980364407,5.393475761262363
OUI,7/9/2006,OUI,OUI,OUI,7/31/2011,NON,NON,OUI,,Il y a eu une réhabilitation du site en 2011. Les deux endroits où se trouvait l'amiante ont été déposés ou détruits à cette occasion.,0132071F,1ORD,PR,0132071F,ECOLE ELEMENTAIRE NOTRE-DAME DE FRANCE <br> 13294 MARSEILLE  6E  ARRONDISSEMENT,43.28210211696314,5.377123857563803
OUI,7/9/2016,OUI,OUI,OUI,7/31/2011,NON,NON,OUI,,,0132911U,CLG,PR,0132911U,COLLEGE NOTRE DAME DE FRANCE <br> 13253 MARSEILLE  6E  ARRONDISSEMENT,43.284747294113906,5.378015142356845
OUI,7/9/2006,OUI,OUI,OUI,7/31/2011,NON,NON,OUI,,,0131333D,LYC,PR,0131333D,LYCEE D ENSEIGNEMENT GENERAL NOTRE DAME DE FRANCE <br> 13253 MARSEILLE  6E  ARRONDISSEMENT,43.284747294113906,5.378015142356845
OUI,7/13/2006,OUI,OUI,OUI,7/13/2006,OUI,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","lors du dernier conseil d'école ,le représentant de la mairie a annoncé qu'une mesure d'ambiance est prévue pendant les vacances (juillet août2016)
l'amiante est contenue dans les dalles de sol et la colle dans toutes les pièces de la maternelle sauf do",0132632R,1ORD,PU,0132632R,ECOLE MATERNELLE PRAIRIAL <br> 13127 VITROLLES,43.4494397731536,5.250652217572818
OUI,4/28/2008,OUI,OUI,NON,,NON,OUI,OUI,,Les matériaux contenant de l'amiante ont été déposées les 07 et 08/07/2008 et portées à la déchetterie : bordereau de suivi des déchets dangereux contenant de l'amiante daté du 11/07/2008,0132091C,1ORD,PR,0132091C,ECOLE ELEMENTAIRE PETIT CASTELET <br> 13150 TARASCON,43.77952683166294,4.659038903773103
OUI,,OUI,OUI,,,,OUI,NON,,"Bonjour, Je ne peux répondre à toutes les questions n'ayant pas les informations. Je pense que les services techniques de la mairie d'Oraison serait plus à même de répondre à ce type très précis et technique de questionnaire. Des travaux d'agrandissement ",0040238M,1ORD,PU,0040238M,ECOLE ELEMENTAIRE  <br> 04700 ORAISON,43.91782680084181,5.917653070644954
OUI,3/26/1997,OUI,OUI,NON,7/6/2010,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0840781T,1ORD,PU,0840781T,ECOLE ELEMENTAIRE ELEMENTAIRE <br> 84390 SAULT,44.093957672580146,5.410856582514623
OUI,12/2/2015,OUI,OUI,OUI,12/2/2015,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0840847P,1ORD,PU,0840847P,ECOLE MATERNELLE GPE SCOL.FERNAND PERRIN <br> 84510 CAUMONT-SUR-DURANCE,43.89366959279026,4.947397971630815
NON,,,,,,,,,,,0131002U,1ORD,PU,0131002U,ECOLE ELEMENTAIRE MEZOARGUES <br> 13150 SAINT-PIERRE-DE-MEZOARGUES,43.85925303127308,4.65128921486984
NON,,,,,,,,,,,0134043Z,1ORD,PU,0134043Z,ECOLE ELEMENTAIRE MIREILLE FERAUD FOESSER <br> 13220 CHATEAUNEUF-LES-MARTIGUES,43.38840536713481,5.173991108734839
OUI,1/1/2009,OUI,OUI,OUI,4/1/2015,,,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132181A,1ORD,PU,0132181A,ECOLE ELEMENTAIRE JEAN MAUREL <br> 13540 AIX-EN-PROVENCE,43.58403528296217,5.421709507468382
OUI,3/26/1997,OUI,OUI,NON,7/6/2010,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",QUESTION 11= en MAIRIE,0840938N,1ORD,PU,0840938N,ECOLE MATERNELLE MATERNELLE <br> 84390 SAULT,44.09371526305184,5.4108650512265335
NON,,,,,,,,,,,0841078R,LP,PU,0841078R,LYCEE PROFESSIONNEL REGIONAL MONTESQUIEU <br> 84700 SORGUES,43.99754061884594,4.880630985312243
NON,,,,,,,,,,,0050244N,1ORD,PU,0050244N,ECOLE ELEMENTAIRE PUY ST PIERRE <br> 05100 PUY-SAINT-PIERRE,44.89332049875382,6.61794808921461
NON,,,,,,,,,,,0131102C,1ORD,PU,0131102C,ECOLE ELEMENTAIRE JEAN MOULIN <br> 13670 SAINT-ANDIOL,43.83604620721189,4.946151881247217
NON,,,,,,,,,,,0130653P,1ORD,PU,0130653P,ECOLE ELEMENTAIRE SAINTE MARGUERITE <br> 13009 MARSEILLE  9E  ARRONDISSEMENT,43.26699890826298,5.4080911561578535
NON,,,,,,,,,,,0133948W,1ORD,PR,0133948W,ECOLE ELEMENTAIRE JUIVE D'AIX EN PROVENCE (EJAP) <br> 13080 AIX-EN-PROVENCE,43.52461765407259,5.442985641834954
OUI,,OUI,OUI,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Des travaux ont été réalisés pour encoffrer les matériaux contenant de l’amiante avant 2006: les sols ont été recouverts de carrelage. 
Après plusieurs demande , je n'ai pu obtenir le dossier amiante dans l'école. Je ne suis pas sûre que la nouvelle mun",0040192M,1ORD,PU,0040192M,ECOLE MATERNELLE  <br> 04350 MALIJAI,44.044584826773175,6.032949602147211
OUI,1/1/2006,OUI,OUI,OUI,1/1/2006,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0050095B,1ORD,PU,0050095B,ECOLE ELEMENTAIRE ESPINASSES <br> 05190 ESPINASSES,44.467489574487885,6.229607099887173
OUI,7/28/2016,OUI,OUI,OUI,7/28/2016,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0840207U,1ORD,PU,0840207U,ECOLE ELEMENTAIRE JEAN MOULIN <br> 84210 PERNES-LES-FONTAINES,44.001535859795815,5.056973376015803
OUI,9/27/2005,OUI,OUI,NON,,NON,NON,OUI,Autres,Dossier consultable dans le bureau du responsable du Service général du lycée.,0130053M,LYC,PU,0130053M,LYCEE POLYVALENT JEAN PERRIN <br> 13395 MARSEILLE 10E  ARRONDISSEMENT,43.274596616680384,5.4265031536648385
OUI,4/30/2008,OUI,OUI,NON,,NON,,OUI,,,0131707K,CLG,PU,0131707K,COLLEGE GERARD PHILIPE <br> 13500 MARTIGUES,43.39572783760718,5.060829624393693
OUI,12/13/1996,OUI,NON,OUI,10/16/1996,,,OUI,,,0132596B,1ORD,PU,0132596B,ECOLE ELEMENTAIRE MARCEL BATLLE <br> 13150 TARASCON,43.80805548293301,4.664897877448385
OUI,12/14/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132989D,1ORD,PU,0132989D,ECOLE ELEMENTAIRE GILBERT DEL CORSO <br> 13270 FOS-SUR-MER,43.4630513357958,4.9380322709976365
OUI,11/30/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132332P,1ORD,PU,0132332P,ECOLE ELEMENTAIRE JOSEPH D'ARBAUD <br> 13270 FOS-SUR-MER,43.44572144035819,4.943191831648157
OUI,12/14/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0133020M,1ORD,PU,0133020M,ECOLE MATERNELLE LEONCE HERAIL <br> 13270 FOS-SUR-MER,43.46281349195183,4.938449272679616
OUI,11/16/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0130458C,1ORD,PU,0130458C,ECOLE MATERNELLE MARIE MAURON <br> 13270 FOS-SUR-MER,43.434311915264594,4.946459319384082
OUI,11/30/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132387Z,1ORD,PU,0132387Z,ECOLE MATERNELLE JONQUIERE <br> 13270 FOS-SUR-MER,43.44587678806828,4.94376278041097
OUI,11/23/2011,OUI,OUI,NON,,,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0132480A,1ORD,PU,0132480A,ECOLE MATERNELLE MICHEL GERACHIOS <br> 13270 FOS-SUR-MER,43.46027526894262,4.932877033580133
OUI,12/7/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0133183P,1ORD,PU,0133183P,ECOLE ELEMENTAIRE MAZET (LE) <br> 13270 FOS-SUR-MER,43.459082297016145,4.9446291756402365
OUI,12/7/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0133182N,1ORD,PU,0133182N,ECOLE MATERNELLE MAZET (LE) <br> 13270 FOS-SUR-MER,43.45882190441914,4.944144728913939
OUI,11/23/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0131914K,1ORD,PU,0131914K,ECOLE ELEMENTAIRE MICHEL GERACHIOS <br> 13270 FOS-SUR-MER,43.4551285609956,4.938516384127852
OUI,11/16/2011,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0130456A,1ORD,PU,0130456A,ECOLE ELEMENTAIRE JEAN GIONO <br> 13270 FOS-SUR-MER,43.434057617373455,4.947189187230462
OUI,5/1/2017,OUI,NON,NON,,NON,NON,OUI,,,0050468G,1ORD,PU,0050468G,ECOLE ELEMENTAIRE LARAGNE <br> 05300 LARAGNE-MONTEGLIN,44.31595326239695,5.822028516857822
OUI,,OUI,OUI,,,,,,,,0130563S,1ORD,PU,0130563S,ECOLE ELEMENTAIRE ETIENNE MILAN <br> 13008 MARSEILLE  8E  ARRONDISSEMENT,43.26563378471722,5.3874904298348865
,,,,,,,,NON,,"Je ne peux répondre à aucune des questions posées.
Le Directeur",0021059R,1ORD,PU,0021059R,ECOLE ELEMENTAIRE GR.SCOL.JOLIOT CURIE <br> 02430 GAUCHY,49.82731495583788,3.2799920854626423
OUI,6/7/2012,OUI,NON,NON,,NON,NON,OUI,,,0020143V,1ORD,PU,0020143V,ECOLE ELEMENTAIRE  <br> 02160 BOURG-ET-COMIN,49.39728746839634,3.6542230771790023
NON,,,,,,,,,,,0021584L,1ORD,PU,0021584L,ECOLE ELEMENTAIRE  <br> 02700 AMIGNY-ROUY,49.608145059886866,3.3026985502463293
NON,,,,,,,,,,,0021719H,1ORD,PU,0021719H,ECOLE ELEMENTAIRE  <br> 02640 SAINT-SIMON,49.74325968564581,3.1711775206210477
OUI,12/8/2008,OUI,OUI,NON,,NON,NON,OUI,,,0022042J,LYC,PU,0022042J,LYCEE POLYVALENT JEAN BOUIN <br> 02100 SAINT-QUENTIN,49.85318756689253,3.307331743100819
OUI,10/24/2008,NON,OUI,OUI,,OUI,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Rien n' été fait depuis.,0020012C,LYC,PU,0020012C,LYCEE POLYVALENT JEAN DE LA FONTAINE <br> 02405 CHATEAU-THIERRY,49.05171362141371,3.384424230732905
NON,,,,,,,,,,Il est préférable de s'adresser en Mairie pour plus d'informations,0021803Z,1ORD,PU,0021803Z,ECOLE ELEMENTAIRE DU CENTRE <br> 02440 MONTESCOURT-LIZEROLLES,49.73720153951027,3.2585709482897185
OUI,4/12/2006,OUI,NON,NON,,NON,NON,OUI,,présence d'amiante décelée sur 2 demi-conduites extérieures  (amiante ciment),0021809F,1ORD,PU,0021809F,ECOLE ELEMENTAIRE BOIS BLANCHARD <br> 02400 CHATEAU-THIERRY,49.06122142085202,3.387491192359384
NON,,,,,,,,,,,0021563N,1ORD,PU,0021563N,ECOLE ELEMENTAIRE  <br> 02480 JUSSY,49.723232536444094,3.231729305533612
OUI,6/15/2004,NON,OUI,NON,,NON,NON,OUI,,Locaux non visités : des appartements de fonction,0021518P,CLG,PU,0021518P,COLLEGE MARIE DE LUXEMBOURG <br> 02800 LA FERE,49.66395474914851,3.364096263402182
,,,,,,,,,,Je pense qu'il est préférable de vous mettre en relation avec la mairie de saint quentin. je suis dans l'impossibilité de répondre à ce questionnaire,0020882Y,1ORD,PU,0020882Y,ECOLE MATERNELLE ROBERT SCHUMAN <br> 02100 SAINT-QUENTIN,49.8595931191949,3.295627688022779
NON,,,,,,,,,,,0021554D,1ORD,PU,0021554D,ECOLE ELEMENTAIRE  <br> 02800 VERSIGNY,49.65386311613043,3.434830450795236
,,,,,,,,,,,0021291T,1ORD,PU,0021291T,ECOLE ELEMENTAIRE  <br> 02000 VERNEUIL-SUR-SERRE,49.65239140941409,3.6735902057092265
OUI,11/17/2008,OUI,OUI,NON,,NON,NON,OUI,,,0020032Z,LYC,PU,0020032Z,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL <br> 02001 LAON,49.565162160971745,3.6084983892345264
NON,,,,,,,,,,,0020198E,1ORD,PU,0020198E,ECOLE ELEMENTAIRE  <br> 02320 CESSIERES-SUZY,49.558063140515486,3.4963699238383725
NON,,,,,,,,,,,0020194A,1ORD,PU,0020194A,ECOLE ELEMENTAIRE  <br> 02300 CAUMONT,49.633014824362505,3.173651273703668
NON,,NON,,,,,,,,,0021433X,1ORD,PU,0021433X,ECOLE ELEMENTAIRE  <br> 02500 OHIS,49.93012215227635,4.010632982879319
NON,,,,,,,,,,,0021940Y,1ORD,PU,0021940Y,ECOLE ELEMENTAIRE  <br> 02210 OULCHY-LE-CHATEAU,49.205595257922226,3.3698666621664017
NON,,,,,,,,,,,0021538L,1ORD,PU,0021538L,ECOLE ELEMENTAIRE  <br> 02310 CROUTTES-SUR-MARNE,48.98026842129703,3.2392298713506613
,,,,,,,,,,Nouvelle construction : l'école ouvre ses portes le 31 août 2016,0021957S,1ORD,PU,0021957S,ECOLE ELEMENTAIRE  <br> 02120 SAINS-RICHAUMONT,49.823759158656934,3.7040699651752953
OUI,11/17/2008,OUI,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0022044L,LYC,PU,0022044L,LYCEE POLYVALENT LE CORBUSIER <br> 02331 SOISSONS,49.3643516902083,3.3164618699133266
NON,,,,,,,,,,,0021248W,1ORD,PU,0021248W,ECOLE ELEMENTAIRE ECOLE NO.1 <br> 02000 URCEL,49.489071217451496,3.559631062965797
NON,,,,,,,,,,,0022078Y,1ORD,PU,0022078Y,ECOLE ELEMENTAIRE JEAN MACE <br> 02100 SAINT-QUENTIN,49.84567174224404,3.266807072152456
